callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-04 09:26:07+00:00,2020-04-04 09:41:12+00:00,2020-04-04 00:00:00+00:00,53.47544860839844,8.156485421316965,304.8,53.87855529785156,7.885437011718751,381.0
JIA5092,OH5092,a77721,N580NN,CRJ9,KGRR,KUZA,2020-04-04 10:07:00+00:00,2020-04-04 11:21:24+00:00,2020-04-04 00:00:00+00:00,42.8793593584481,-85.5188206263951,304.8,35.053462658898304,-81.05415344238281,1668.78
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-04 12:20:07+00:00,2020-04-04 12:34:27+00:00,2020-04-04 00:00:00+00:00,53.479248046875,8.173514229910715,304.8,53.87855529785156,7.885672433035714,365.76
DAL3124,DL3124,a49d22,N397DN,,KPHX,KSLC,2020-04-04 13:08:31+00:00,2020-04-04 14:17:58+00:00,2020-04-04 00:00:00+00:00,33.43107061871027,-112.0204691984216,304.8,40.86825613248146,-112.105678211559,3116.58
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-04 15:18:11+00:00,2020-04-04 16:22:42+00:00,2020-04-04 00:00:00+00:00,40.73941040039062,-73.4141845703125,0.0,40.64891052246094,-73.34271240234375,22.86
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-04 16:34:07+00:00,2020-04-04 16:44:57+00:00,2020-04-04 00:00:00+00:00,40.6509968385858,-73.33917097611861,0.0,40.72077941894531,-73.414306640625,91.44
ENY3691,,a2e935,N287NN,,KDFW,,2020-04-04 18:02:02+00:00,2020-04-04 19:17:36+00:00,2020-04-04 00:00:00+00:00,32.907485961914055,-97.02987670898438,0.0,26.35317527641684,-100.1914567213792,10553.7
ENY3691,,a2e935,N287NN,,,KDFW,2020-04-04 21:42:13+00:00,2020-04-04 22:46:02+00:00,2020-04-04 00:00:00+00:00,26.394513663599053,-100.2808790940505,11887.2,32.8421630859375,-97.02636108398434,373.38
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-05 02:31:25+00:00,2020-04-05 02:44:49+00:00,2020-04-05 00:00:00+00:00,53.4783263125662,8.109525792738971,304.8,53.88510131835938,7.868643624441964,358.14
WHS2AE,,3df79c,D-HOAE,EC45,EDWG,EDWI,2020-04-05 03:12:48+00:00,2020-04-05 03:26:41+00:00,2020-04-05 00:00:00+00:00,53.79354858398438,8.06396484375,304.8,53.497226521120226,8.0914306640625,304.8
FDX94,FX94,abaf47,N852FD,B77L,PANC,KOAK,2020-04-05 04:38:15+00:00,2020-04-05 08:16:59+00:00,2020-04-05 00:00:00+00:00,61.1870510295286,-150.0074259440104,0.0,37.71162414550781,-122.2294454371675,45.72
JIA5092,OH5092,a7c00f,N599NN,CRJ9,KGRR,KCLT,2020-04-05 10:14:53+00:00,2020-04-05 11:31:54+00:00,2020-04-05 00:00:00+00:00,42.87908004502118,-85.51973615373885,0.0,35.27249093783104,-80.97157579787232,480.06
DEJFC,,3d1cf0,,,EDFQ,EDVK,2020-04-05 10:28:28+00:00,2020-04-05 12:20:12+00:00,2020-04-05 00:00:00+00:00,51.012081857454966,8.630599975585938,609.6,51.41743469238281,9.348919842694256,358.14
DEJFC,,3d1cf0,,,EDVK,EDAQ,2020-04-05 12:54:10+00:00,2020-04-05 13:50:27+00:00,2020-04-05 00:00:00+00:00,51.42393493652344,9.450617609797296,304.8,51.59463656150688,11.84455871582031,579.12
DAL3124,DL3124,a45f64,N381DZ,,KPHX,KSLC,2020-04-05 13:04:49+00:00,2020-04-05 14:07:51+00:00,2020-04-05 00:00:00+00:00,33.431076049804695,-112.0191833496094,304.8,40.83036804199219,-112.1014404296875,3238.5
SKW5714,OO5714,ad77cc,N967SW,CRJ2,,60CO,2020-04-05 14:26:34+00:00,2020-04-05 15:46:42+00:00,2020-04-05 00:00:00+00:00,32.17942060050318,-110.8002020388233,2743.2,39.94102478027344,-104.68634033203121,1935.48
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-05 16:36:34+00:00,2020-04-05 16:49:26+00:00,2020-04-05 00:00:00+00:00,40.73066711425781,-73.41180419921875,0.0,40.90333557128906,-73.35516357421875,198.12
N888SN,,ac3d2a,N888SN,,,KFRG,2020-04-05 17:06:02+00:00,2020-04-05 17:26:44+00:00,2020-04-05 00:00:00+00:00,40.93231201171875,-73.3309326171875,0.0,40.73707580566406,-73.41387939453125,53.34
N350BT,,a3e4f8,N350BT,,KLDJ,KLDJ,2020-04-05 17:37:39+00:00,2020-04-05 18:51:07+00:00,2020-04-05 00:00:00+00:00,40.60029602050781,-74.2950439453125,0.0,40.61999304819915,-74.40297213467687,480.06
ENY3691,,a2ddac,N284JN,,KDFW,,2020-04-05 18:06:37+00:00,2020-04-05 19:14:09+00:00,2020-04-05 00:00:00+00:00,32.876083374023445,-97.03042602539062,304.8,26.292564262778072,-100.20777775691109,10972.8
ENY3691,,a2ddac,N284JN,,,KDFW,2020-04-05 21:30:11+00:00,2020-04-05 22:43:35+00:00,2020-04-05 00:00:00+00:00,26.45709228515625,-100.2797310307341,11277.6,32.928634643554695,-97.02592163085936,228.6
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-05 22:58:37+00:00,2020-04-05 23:09:47+00:00,2020-04-05 00:00:00+00:00,53.48097979012182,8.177624870749083,304.8,53.88253939353813,7.873158174402572,396.24
WHS2AE,,3df79c,D-HOAE,EC45,EDWG,EDWI,2020-04-05 23:37:03+00:00,2020-04-05 23:48:36+00:00,2020-04-05 00:00:00+00:00,53.74594116210938,8.108616420200894,304.8,53.474229715638245,8.126732321346509,365.76
CSA,,7c0ca8,,,YOAS,YSTW,2020-04-06 00:50:45+00:00,2020-04-06 05:55:52+00:00,2020-04-06 00:00:00+00:00,-34.14760266320184,150.59732437133792,914.4,-31.14958190917969,150.71987376493567,906.78
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-06 02:38:50+00:00,2020-04-06 03:34:58+00:00,2020-04-06 00:00:00+00:00,53.472507282838976,8.140061322380514,304.8,53.4796142578125,8.140712193080358,289.56
LNI964,,8a0712,,,,,2020-04-06 03:00:46+00:00,2020-04-06 04:53:36+00:00,2020-04-06 00:00:00+00:00,-7.1006927490234375,108.66032487255029,10363.2,3.000384831832627,98.96579084725217,4084.32
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-06 09:32:35+00:00,2020-04-06 10:18:50+00:00,2020-04-06 00:00:00+00:00,53.52983093261719,8.049839564732144,304.8,53.51263531183792,8.035691205193014,137.16
JIA5092,OH5092,a7c878,N600NN,CRJ9,KGRR,KCLT,2020-04-06 12:32:47+00:00,2020-04-06 13:59:55+00:00,2020-04-06 00:00:00+00:00,42.8749368958554,-85.51627022879467,304.8,35.271839206501596,-80.97157579787232,464.82000000000016
DAL3124,DL3124,a008c5,N101DQ,,KPHX,KSLC,2020-04-06 13:06:25+00:00,2020-04-06 14:08:21+00:00,2020-04-06 00:00:00+00:00,33.431076049804695,-112.0201171875,304.8,40.80056762695312,-112.0980224609375,3284.22
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-06 14:17:02+00:00,2020-04-06 14:54:51+00:00,2020-04-06 00:00:00+00:00,53.52639770507812,8.052193777901786,304.8,53.51683044433594,8.028102329799108,144.78
SKW5714,OO5714,acd135,N925EV,CRJ2,KDMA,60CO,2020-04-06 14:24:24+00:00,2020-04-06 15:45:52+00:00,2020-04-06 00:00:00+00:00,32.156753540039055,-110.74674682617191,2743.2,39.94656372070312,-104.6861572265625,1935.48
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-06 17:34:19+00:00,2020-04-06 17:44:24+00:00,2020-04-06 00:00:00+00:00,53.51353454589844,8.033830915178571,0.0,53.82835258871821,7.809017405790441,586.74
ENY3691,,a2c1b6,N277NN,,KDFW,,2020-04-06 18:03:44+00:00,2020-04-06 19:13:08+00:00,2020-04-06 00:00:00+00:00,32.89096069335938,-97.03009643554684,304.8,25.775415452860173,-100.1078364534198,9144.0
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-06 20:54:11+00:00,2020-04-06 21:11:22+00:00,2020-04-06 00:00:00+00:00,53.48382568359375,8.088841029575894,304.8,53.87928771972656,7.883710588727679,381.0
ENY3691,,a2c1b6,N277NN,,,KDFW,2020-04-06 21:39:00+00:00,2020-04-06 22:43:59+00:00,2020-04-06 00:00:00+00:00,26.497766527078923,-100.2504025972806,10668.0,32.935615151615465,-97.02586894132652,289.56
JQQ,,7c2fe0,,,YMAY,YOAS,2020-04-07 01:10:36+00:00,2020-04-07 03:24:01+00:00,2020-04-07 00:00:00+00:00,-36.065554861295034,146.96866948553858,0.0,-34.097213745117195,150.5374145507812,777.24
FJF,,7c1a99,,,YSCN,YOAS,2020-04-07 02:28:45+00:00,2020-04-07 03:52:58+00:00,2020-04-07 00:00:00+00:00,-34.018020629882805,150.7045076331314,0.0,-34.0693359375,150.5175158442283,883.9200000000002
FOI,,7c1b50,VH-FOI,A119,YOAS,YPEC,2020-04-07 05:19:41+00:00,2020-04-07 05:53:37+00:00,2020-04-07 00:00:00+00:00,-34.11154174804688,150.5663377411512,609.6,-33.16674701238082,151.5786494040976,548.64
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-07 11:07:09+00:00,2020-04-07 11:54:44+00:00,2020-04-07 00:00:00+00:00,53.52413371457892,8.055563534007353,304.8,53.51626638638771,8.027613022748161,45.72
DAL3124,DL3124,a3a155,N333DX,,KPHX,KSLC,2020-04-07 13:03:21+00:00,2020-04-07 14:00:59+00:00,2020-04-07 00:00:00+00:00,33.431076049804695,-112.02094116210941,304.8,40.82281494140625,-112.1005859375,3238.5
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-07 13:56:11+00:00,2020-04-07 15:03:16+00:00,2020-04-07 00:00:00+00:00,40.73799133300781,-73.41156005859375,0.0,40.73171841896186,-73.41214266690343,60.96
SKW5714,OO5714,ad7f3a,N969SW,CRJ2,,60CO,2020-04-07 14:23:37+00:00,2020-04-07 15:43:57+00:00,2020-04-07 00:00:00+00:00,32.17672057070975,-110.7927470304528,2743.2,39.945497674457094,-104.6862862326882,1912.62
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-07 15:46:49+00:00,2020-04-07 16:25:15+00:00,2020-04-07 00:00:00+00:00,53.51179504394531,8.039716448102679,0.0,53.53581832627118,8.046435187844667,121.92
ENY3691,,a22b28,N239NN,E75L,KDFW,,2020-04-07 17:58:04+00:00,2020-04-07 19:09:46+00:00,2020-04-07 00:00:00+00:00,32.892333984375,-97.03004150390628,304.8,26.34910583496094,-100.1824605689858,10972.8
N350BT,,a3e4f8,N350BT,,KLDJ,KLDJ,2020-04-07 19:39:06+00:00,2020-04-07 20:12:04+00:00,2020-04-07 00:00:00+00:00,40.62753451072563,-74.22906355424362,0.0,40.599230750132406,-74.30784052068537,426.72
CSX,,7c0cbf,,,YSCN,YOAS,2020-04-07 23:58:16+00:00,2020-04-08 01:17:34+00:00,2020-04-08 00:00:00+00:00,-34.029052734375,150.72205212651468,304.8,-34.14248657226562,150.46168736049108,1569.72
LNI964,,8a04bd,PK-LPJ,B738,,,2020-04-08 02:41:23+00:00,2020-04-08 04:27:26+00:00,2020-04-08 00:00:00+00:00,-7.1281585693359375,108.254668672206,11582.4,3.158889770507812,99.58706096067266,5021.58
KXW,,7c35f2,,,YPJT,YPJT,2020-04-08 02:52:58+00:00,2020-04-08 03:20:39+00:00,2020-04-08 00:00:00+00:00,-32.092117309570305,115.88845825195308,0.0,-32.102737426757805,115.87055053710941,91.44
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-08 04:08:19+00:00,2020-04-08 04:21:29+00:00,2020-04-08 00:00:00+00:00,53.47265625,8.145342145647321,304.8,53.879001423463976,7.884225284352023,342.9
JIA5092,OH5092,a77e8f,N582NN,CRJ9,KGRR,KCLT,2020-04-08 10:12:32+00:00,2020-04-08 11:24:15+00:00,2020-04-08 00:00:00+00:00,42.87803649902344,-85.52958643713662,304.8,35.28410339355469,-80.97232818603516,632.46
DEJFC,,3d1cf0,,,EDAQ,EDVE,2020-04-08 12:27:51+00:00,2020-04-08 13:09:21+00:00,2020-04-08 00:00:00+00:00,51.54552395060911,12.08610534667969,0.0,52.32064819335938,10.58303833007812,22.86
SKW5714,OO5714,ac17d6,N879AS,CRJ2,,CO12,2020-04-08 14:26:58+00:00,2020-04-08 15:56:35+00:00,2020-04-08 00:00:00+00:00,32.029336185778604,-110.80535888671879,2743.2,39.950758077330505,-104.69546231356529,1943.1
DEJFC,,3d1cf0,,,EDVE,EDUO,2020-04-08 15:11:30+00:00,2020-04-08 15:50:14+00:00,2020-04-08 00:00:00+00:00,52.31773247153071,10.54397147042411,0.0,51.67908232090836,11.70883178710938,571.5
DAL3124,DL3124,a3b796,N339DN,,KPHX,KU42,2020-04-08 17:33:30+00:00,2020-04-08 18:33:40+00:00,2020-04-08 00:00:00+00:00,33.4310302734375,-112.00462646484371,304.8,40.60771179199219,-111.953857421875,2446.02
ENY3691,,a258b7,N250NN,E75L,KDFW,,2020-04-08 17:39:48+00:00,2020-04-08 18:51:57+00:00,2020-04-08 00:00:00+00:00,32.888626098632805,-97.02993164062497,304.8,26.2847900390625,-100.223918410967,11582.4
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-08 17:54:36+00:00,2020-04-08 18:08:50+00:00,2020-04-08 00:00:00+00:00,40.7396788516287,-73.41451471502131,0.0,40.642198465638245,-73.33030700683594,182.88
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-08 18:58:16+00:00,2020-04-08 19:11:00+00:00,2020-04-08 00:00:00+00:00,40.65430204747086,-73.33854675292969,0.0,40.72794768769862,-73.4143898703835,160.02
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-09 01:39:51+00:00,2020-04-09 02:37:39+00:00,2020-04-09 00:00:00+00:00,53.48927307128906,8.060511997767858,0.0,53.502347267280186,8.05241304285386,-68.58
TRW,,7c62aa,VH-TRW,A109,,YOAS,2020-04-09 04:17:04+00:00,2020-04-09 04:31:54+00:00,2020-04-09 00:00:00+00:00,-33.54209770590575,149.7307205200195,3352.8,-34.112136840820305,150.47676553531568,1272.54
BGZ,,7c0601,,,,YOAS,2020-04-09 08:45:06+00:00,2020-04-09 09:12:45+00:00,2020-04-09 00:00:00+00:00,-33.078598022460945,149.55671997070309,2438.4,-34.09918212890625,150.56342300103643,777.24
DAL3124,DL3124,a36898,N319DN,A321,KPHX,KSLC,2020-04-09 13:03:43+00:00,2020-04-09 14:06:29+00:00,2020-04-09 00:00:00+00:00,33.43107061871027,-112.0015233876754,304.8,40.873888953257406,-112.10636485706681,3048.0
SKW5714,OO5714,a5c504,N471CA,CRJ2,,KDEN,2020-04-09 14:31:26+00:00,2020-04-09 15:50:29+00:00,2020-04-09 00:00:00+00:00,32.114181518554695,-110.78201293945308,2743.2,39.82818603515625,-104.6876220703125,1783.08
ENY3691,,a24ef0,N248NN,E75L,KDFW,,2020-04-09 17:42:31+00:00,2020-04-09 18:57:16+00:00,2020-04-09 00:00:00+00:00,32.904739379882805,-97.03031616210941,304.8,26.26776123046875,-100.24723844708141,11582.4
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-09 18:30:05+00:00,2020-04-09 19:19:29+00:00,2020-04-09 00:00:00+00:00,53.51119995117188,8.039010184151786,0.0,53.47352600097656,8.128627232142858,121.92
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-09 21:07:48+00:00,2020-04-09 22:00:23+00:00,2020-04-09 00:00:00+00:00,53.48987126754502,8.057744643267464,0.0,53.598710399563025,8.165265251608458,175.26
KXW,,7c35f2,,,YPJT,YBEV,2020-04-10 01:56:18+00:00,2020-04-10 02:20:54+00:00,2020-04-10 00:00:00+00:00,-32.10186767578125,115.8713195800781,0.0,-32.132635601496304,116.74503871372771,1295.4
KXW,,7c35f2,,,YNTM,YPJT,2020-04-10 03:54:51+00:00,2020-04-10 04:28:52+00:00,2020-04-10 00:00:00+00:00,-31.678937491724053,116.6433837890625,1219.2,-32.08510576668436,115.898362763074,144.78
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-10 06:51:38+00:00,2020-04-10 07:43:19+00:00,2020-04-10 00:00:00+00:00,53.47264693955243,8.137718649471509,304.8,53.58755493164062,8.169669015066965,175.26
JIA5092,OH5092,a72823,N560NN,CRJ9,KGRR,SC08,2020-04-10 10:19:25+00:00,2020-04-10 11:28:21+00:00,2020-04-10 00:00:00+00:00,42.87373352050781,-85.54319159929139,609.6,35.09778038930084,-81.05850219726562,2346.96
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-10 10:27:32+00:00,2020-04-10 10:42:27+00:00,2020-04-10 00:00:00+00:00,53.479303909560386,8.173989688648897,304.8,53.877685546875,7.887634277343751,327.66
DAL3124,DL3124,a48a8f,N392DN,,KPHX,KSLC,2020-04-10 13:07:34+00:00,2020-04-10 14:12:16+00:00,2020-04-10 00:00:00+00:00,33.4310302734375,-112.0038024902344,304.8,40.83201599121094,-112.1016845703125,3215.64
SKW5714,OO5714,ad0506,N938SW,CRJ2,,CO12,2020-04-10 14:27:43+00:00,2020-04-10 15:55:29+00:00,2020-04-10 00:00:00+00:00,32.080215454101555,-110.77591552734378,2743.2,39.957787465241,-104.69546231356529,1973.58
ENY3691,,a24b39,N247NN,E75L,KDFW,,2020-04-10 17:46:27+00:00,2020-04-10 18:57:25+00:00,2020-04-10 00:00:00+00:00,32.89250777939618,-97.0301289461097,0.0,26.27732849121094,-100.1514190098025,11582.4
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-10 18:49:52+00:00,2020-04-10 19:04:39+00:00,2020-04-10 00:00:00+00:00,53.47348022460938,8.134355817522321,304.8,53.86326676708157,7.933744542738969,335.28
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-10 23:28:44+00:00,2020-04-11 00:23:24+00:00,2020-04-11 00:00:00+00:00,-33.60552978515625,150.725022919324,304.8,-33.55033745199947,150.6271934509277,670.5600000000002
SEV,,7c5bc5,VH-SEV,AS55,YSBK,YOAS,2020-04-11 00:26:35+00:00,2020-04-11 01:28:46+00:00,2020-04-11 00:00:00+00:00,-33.917913921808804,150.9824180603027,0.0,-34.00900268554688,150.56151720942282,609.6
JIA5092,OH5092,a66174,N510AE,CRJ7,KGRR,KUZA,2020-04-11 10:33:45+00:00,2020-04-11 11:47:40+00:00,2020-04-11 00:00:00+00:00,42.859341896186436,-85.5133274623326,609.6,35.044052124023445,-81.04692731584822,1684.02
DEJFC,,3d1cf0,,,EDAQ,EDAY,2020-04-11 11:44:27+00:00,2020-04-11 12:39:04+00:00,2020-04-11 00:00:00+00:00,51.543429099907314,12.11921691894531,0.0,52.57319641113281,13.90289306640625,22.86
DAL3124,DL3124,a388a9,N327DN,A321,KPHX,KSLC,2020-04-11 13:07:39+00:00,2020-04-11 14:15:07+00:00,2020-04-11 00:00:00+00:00,33.43107061871027,-112.0104918187978,304.8,40.81402587890625,-112.09912109375,3185.16
SKW5714,OO5714,abd29f,N861AS,CRJ2,,CO12,2020-04-11 14:21:11+00:00,2020-04-11 15:47:17+00:00,2020-04-11 00:00:00+00:00,32.06722970736229,-110.756761200574,3048.0,39.960673703985705,-104.6862238103693,2065.02
DEJFC,,3d1cf0,,,EDAY,EDAQ,2020-04-11 15:48:05+00:00,2020-04-11 16:45:30+00:00,2020-04-11 00:00:00+00:00,52.5970458984375,13.962995256696429,0.0,51.543382547669495,12.00889587402344,213.36
