Zmeny:
Hledani:
10 - 20: B=80.000000, D=2.000000, I=99.000000, J=11.000000, K=30.000000, L=100.000000, M=38.000000, P=40.000000, Q=70.000000, S=10.000000, T=151.000000
214 - 172: A=504.000000, B=546.000000, C=798.000000, D=42.000000, E=84.000000, F=378.000000, G=210.000000, H=279.000000, I=126.000000, J=84.000000, K=126.000000, L=546.000000, M=714.000000, N=210.000000, O=714.000000, P=630.000000, Q=84.000000, R=403.000000, S=420.000000, T=84.000000
754 - 1787: A=12911.000000, B=10351.000000, C=7520.000000, D=19002.000000, E=9994.000000, F=10654.000000, G=7343.000000, H=11346.000000, I=6122.000000, J=18719.000000, K=10260.000000, L=17280.000000, M=5639.000000, N=10186.000000, O=12813.000000, P=10091.000000, Q=13565.000000, R=9683.000000, S=8528.000000, T=12679.000000
95 - 774: A=4628.000000, B=7596.000000, C=12163.000000, D=7051.000000, E=3048.000000, F=5651.000000, G=3111.000000, H=2712.000000, I=2856.000000, J=6410.000000, K=2037.000000, L=7401.000000, M=9114.000000, N=5144.000000, O=10949.000000, P=9921.000000, Q=3706.000000, R=7022.000000, S=6790.000000, T=3051.000000
144 - 1497: A=13932.000000, B=13067.000000, C=17566.000000, D=20288.000000, E=10650.000000, F=13956.000000, G=8143.000000, H=11294.000000, I=7340.000000, J=19443.000000, K=9845.000000, L=19912.000000, M=10668.000000, N=14100.000000, O=18796.000000, P=14247.000000, Q=13451.000000, R=13380.000000, S=14556.000000, T=10946.000000
1012 - 572: A=5536.000000, B=2030.000000, C=4930.000000, D=7920.000000, E=4486.000000, F=3984.000000, G=809.000000, H=1941.000000, I=3146.000000, J=8360.000000, K=2188.000000, L=6308.000000, M=1459.000000, N=7413.000000, O=5700.000000, P=4432.000000, Q=4377.000000, R=3472.000000, S=4400.000000, T=3660.000000
1237 - 1045: A=2688.000000, B=2260.000000, C=1414.000000, D=3468.000000, E=2880.000000, F=2304.000000, G=1920.000000, H=3072.000000, I=1152.000000, J=3648.000000, K=3264.000000, L=3456.000000, M=384.000000, N=3040.000000, O=2304.000000, P=1344.000000, Q=2688.000000, R=1920.000000, S=2300.000000, T=1659.000000
748 - 26: A=5300.000000, B=7732.000000, C=12512.000000, D=6652.000000, E=3254.000000, F=6036.000000, G=3248.000000, H=3268.000000, I=2873.000000, J=6675.000000, K=2166.000000, L=7965.000000, M=10373.000000, N=4676.000000, O=11426.000000, P=10697.000000, Q=3889.000000, R=6970.000000, S=7079.000000, T=3394.000000
689 - 609: A=977.000000, B=692.000000, C=1360.000000, D=1440.000000, E=320.000000, F=480.000000, G=80.000000, H=320.000000, I=354.000000, J=1520.000000, K=240.000000, L=1040.000000, M=296.000000, N=1414.000000, O=1195.000000, P=1200.000000, Q=480.000000, R=1165.000000, S=800.000000, T=80.000000
1223 - 775: A=6272.000000, B=2500.000000, C=3178.000000, D=8064.000000, E=6586.000000, F=5298.000000, G=2536.000000, H=4488.000000, I=3173.000000, J=8512.000000, K=5166.000000, L=8064.000000, M=896.000000, N=7872.000000, O=5376.000000, P=3136.000000, Q=6113.000000, R=3616.000000, S=4832.000000, T=5555.000000
1367 - 641: A=10164.000000, B=5234.000000, C=7109.000000, D=13210.000000, E=8248.000000, F=7830.000000, G=4110.000000, H=7328.000000, I=5069.000000, J=13664.000000, K=7704.000000, L=11801.000000, M=1452.000000, N=10572.000000, O=8787.000000, P=5882.000000, Q=8933.000000, R=5849.000000, S=7900.000000, T=6189.000000
1338 - 1605: A=3282.000000, B=3588.000000, C=2337.000000, D=5073.000000, E=1192.000000, F=2758.000000, G=2670.000000, H=3842.000000, I=1602.000000, J=4539.000000, K=1483.000000, L=4806.000000, M=2469.000000, N=1160.000000, O=3207.000000, P=2909.000000, Q=3649.000000, R=2670.000000, S=2106.000000, T=3752.000000
1110 - 111: A=9108.000000, B=8715.000000, C=14241.000000, D=13083.000000, E=7826.000000, F=9583.000000, G=4438.000000, H=5300.000000, I=5232.000000, J=12618.000000, K=5237.000000, L=13289.000000, M=9492.000000, N=11192.000000, O=14713.000000, P=12033.000000, Q=8099.000000, R=9510.000000, S=10116.000000, T=7947.000000
1897 - 537: A=14870.000000, B=12698.000000, C=11305.000000, D=23248.000000, E=10884.000000, F=12144.000000, G=8245.000000, H=12920.000000, I=7277.000000, J=23621.000000, K=10911.000000, L=19543.000000, M=7936.000000, N=13460.000000, O=16012.000000, P=14483.000000, Q=15839.000000, R=12882.000000, S=10698.000000, T=14069.000000
892 - 1762: A=10979.000000, B=9568.000000, C=6449.000000, D=16197.000000, E=7924.000000, F=9052.000000, G=7130.000000, H=10644.000000, I=4880.000000, J=15622.000000, K=9666.000000, L=15030.000000, M=5088.000000, N=7627.000000, O=10891.000000, P=8700.000000, Q=11885.000000, R=8910.000000, S=7148.000000, T=10576.000000
583 - 1868: A=14824.000000, B=12112.000000, C=10523.000000, D=22420.000000, E=10700.000000, F=11764.000000, G=7882.000000, H=12494.000000, I=7139.000000, J=22747.000000, K=10773.000000, L=19035.000000, M=7154.000000, N=13143.000000, O=15230.000000, P=13793.000000, Q=15320.000000, R=12100.000000, S=10238.000000, T=14023.000000
1926 - 448: A=14959.000000, B=13855.000000, C=12932.000000, D=23784.000000, E=11240.000000, F=13390.000000, G=8845.000000, H=13535.000000, I=7544.000000, J=24570.000000, K=11178.000000, L=20255.000000, M=9449.000000, N=13992.000000, O=17525.000000, P=15818.000000, Q=16373.000000, R=14395.000000, S=11588.000000, T=14158.000000
1293 - 1809: A=5365.000000, B=7216.000000, C=3617.000000, D=9342.000000, E=2516.000000, F=4474.000000, G=4152.000000, H=5786.000000, I=2340.000000, J=8896.000000, K=3841.000000, L=7812.000000, M=4803.000000, N=1862.000000, O=6345.000000, P=6692.000000, Q=6544.000000, R=5699.000000, S=2646.000000, T=7199.000000
970 - 1442: A=6608.000000, B=4795.000000, C=4657.000000, D=8713.000000, E=4954.000000, F=5664.000000, G=4531.000000, H=7082.000000, I=2832.000000, J=8688.000000, K=6812.000000, L=8496.000000, M=1412.000000, N=4989.000000, O=5664.000000, P=3304.000000, Q=6608.000000, R=4720.000000, S=5510.000000, T=4285.000000
1305 - 1816: A=5197.000000, B=7104.000000, C=3542.000000, D=9149.000000, E=2468.000000, F=4330.000000, G=4053.000000, H=5636.000000, I=2268.000000, J=8807.000000, K=3637.000000, L=7596.000000, M=4856.000000, N=1859.000000, O=6201.000000, P=6727.000000, Q=6439.000000, R=5698.000000, S=2502.000000, T=7282.000000
1033 - 1719: A=8806.000000, B=8782.000000, C=5333.000000, D=12842.000000, E=5711.000000, F=7102.000000, G=6482.000000, H=9406.000000, I=3900.000000, J=12200.000000, K=7694.000000, L=12348.000000, M=4333.000000, N=4960.000000, O=8577.000000, P=6982.000000, Q=9287.000000, R=6860.000000, S=5738.000000, T=7772.000000
745 - 498: A=1872.000000, B=2407.000000, C=4213.000000, D=4030.000000, E=988.000000, F=1898.000000, G=797.000000, H=881.000000, I=1191.000000, J=4693.000000, K=741.000000, L=2575.000000, M=2183.000000, N=2977.000000, O=3754.000000, P=3673.000000, Q=1482.000000, R=3164.000000, S=2470.000000, T=247.000000
1519 - 667: A=11730.000000, B=6950.000000, C=8063.000000, D=15630.000000, E=8752.000000, F=9352.000000, G=5604.000000, H=9656.000000, I=5903.000000, J=15754.000000, K=8386.000000, L=14199.000000, M=2865.000000, N=10948.000000, O=10044.000000, P=6736.000000, Q=10905.000000, R=6927.000000, S=9398.000000, T=8452.000000
1353 - 262: A=10620.000000, B=9745.000000, C=13772.000000, D=17434.000000, E=9692.000000, F=11268.000000, G=6079.000000, H=8281.000000, I=6122.000000, J=16759.000000, K=8771.000000, L=15786.000000, M=7411.000000, N=12829.000000, O=15062.000000, P=11469.000000, Q=11011.000000, R=11472.000000, S=11522.000000, T=8458.000000
413 - 1177: A=8005.000000, B=5670.000000, C=8972.000000, D=12275.000000, E=7597.000000, F=7811.000000, G=3413.000000, H=5008.000000, I=4613.000000, J=13215.000000, K=5470.000000, L=10655.000000, M=4492.000000, N=11178.000000, O=10383.000000, P=7972.000000, Q=7641.000000, R=7749.000000, S=7900.000000, T=5733.000000
713 - 1732: A=13429.000000, B=9807.000000, C=8052.000000, D=18849.000000, E=10052.000000, F=10570.000000, G=7219.000000, H=11180.000000, I=6491.000000, J=18501.000000, K=9933.000000, L=17345.000000, M=5116.000000, N=10759.000000, O=12615.000000, P=9667.000000, Q=13268.000000, R=8830.000000, S=8938.000000, T=11814.000000
1434 - 1599: A=1872.000000, B=2346.000000, C=797.000000, D=3135.000000, E=760.000000, F=1570.000000, G=1650.000000, H=2270.000000, I=990.000000, J=2805.000000, K=913.000000, L=2970.000000, M=1815.000000, N=833.000000, O=1965.000000, P=2135.000000, Q=2233.000000, R=1650.000000, S=954.000000, T=2640.000000
1715 - 1496: A=2409.000000, B=3285.000000, C=835.000000, D=4161.000000, E=1440.000000, F=1622.000000, G=1840.000000, H=1974.000000, I=1122.000000, J=3723.000000, K=1647.000000, L=3942.000000, M=2409.000000, N=657.000000, O=2961.000000, P=3673.000000, Q=2757.000000, R=2190.000000, S=90.000000, T=3504.000000
325 - 1681: A=14465.000000, B=13474.000000, C=14855.000000, D=23211.000000, E=11180.000000, F=13735.000000, G=8869.000000, H=12146.000000, I=7883.000000, J=22209.000000, K=10638.000000, L=20871.000000, M=9615.000000, N=13872.000000, O=18158.000000, P=14620.000000, Q=14984.000000, R=13933.000000, S=12818.000000, T=12436.000000
1099 - 1600: A=6573.000000, B=6381.000000, C=4514.000000, D=9393.000000, E=3769.000000, F=5596.000000, G=5010.000000, H=7636.000000, I=3006.000000, J=8923.000000, K=5501.000000, L=9018.000000, M=2892.000000, N=3415.000000, O=6000.000000, P=4497.000000, Q=6935.000000, R=5010.000000, S=4974.000000, T=4878.000000
1821 - 945: A=10237.000000, B=10280.000000, C=6249.000000, D=15734.000000, E=7199.000000, F=8650.000000, G=7254.000000, H=10706.000000, I=4444.000000, J=15736.000000, K=9687.000000, L=14076.000000, M=5631.000000, N=6850.000000, O=10521.000000, P=9332.000000, Q=11524.000000, R=9383.000000, S=6618.000000, T=10784.000000
872 - 33: A=6964.000000, B=8100.000000, C=13407.000000, D=8877.000000, E=5014.000000, F=7221.000000, G=3367.000000, H=3728.000000, I=3982.000000, J=8954.000000, K=2517.000000, L=9785.000000, M=10488.000000, N=6908.000000, O=12902.000000, P=11537.000000, Q=5033.000000, R=7218.000000, S=8312.000000, T=4687.000000
1588 - 477: A=13290.000000, B=10103.000000, C=11688.000000, D=19672.000000, E=9844.000000, F=11706.000000, G=7139.000000, H=11132.000000, I=6887.000000, J=20201.000000, K=9345.000000, L=17521.000000, M=6008.000000, N=12833.000000, O=14179.000000, P=10759.000000, Q=12956.000000, R=10847.000000, S=11298.000000, T=9746.000000
722 - 152: A=3106.000000, B=6744.000000, C=10396.000000, D=6058.000000, E=2142.000000, F=5082.000000, G=2774.000000, H=2162.000000, I=2022.000000, J=5092.000000, K=1710.000000, L=6668.000000, M=8019.000000, N=4208.000000, O=9360.000000, P=8550.000000, Q=3168.000000, R=6918.000000, S=5700.000000, T=2885.000000
1794 - 905: A=10797.000000, B=10048.000000, C=6454.000000, D=16319.000000, E=7729.000000, F=9088.000000, G=7213.000000, H=10784.000000, I=4764.000000, J=15983.000000, K=9807.000000, L=14796.000000, M=5414.000000, N=7489.000000, O=11001.000000, P=9153.000000, Q=11952.000000, R=9324.000000, S=7018.000000, T=10925.000000
1404 - 157: A=12594.000000, B=11722.000000, C=16736.000000, D=18508.000000, E=10174.000000, F=12825.000000, G=7148.000000, H=9728.000000, I=6743.000000, J=17836.000000, K=9341.000000, L=18069.000000, M=9424.000000, N=13396.000000, O=17459.000000, P=13401.000000, Q=12123.000000, R=12450.000000, S=13184.000000, T=9432.000000
1958 - 143: A=16587.000000, B=17820.000000, C=18727.000000, D=25985.000000, E=12358.000000, F=16093.000000, G=10590.000000, H=15196.000000, I=8459.000000, J=25216.000000, K=12093.000000, L=24065.000000, M=14634.000000, N=15483.000000, O=22710.000000, P=20393.000000, Q=17915.000000, R=17345.000000, S=14638.000000, T=16787.000000
1667 - 1324: A=4160.000000, B=4686.000000, C=2789.000000, D=6517.000000, E=1744.000000, F=3298.000000, G=3416.000000, H=4438.000000, I=2054.000000, J=5831.000000, K=2279.000000, L=6174.000000, M=3179.000000, N=1374.000000, O=4305.000000, P=4061.000000, Q=4589.000000, R=3430.000000, S=2274.000000, T=4786.000000
211 - 900: A=4890.000000, B=6611.000000, C=10871.000000, D=9203.000000, E=4298.000000, F=6291.000000, G=2657.000000, H=2502.000000, I=3447.000000, J=8356.000000, K=2067.000000, L=8295.000000, M=7372.000000, N=7202.000000, O=10493.000000, P=9063.000000, Q=4833.000000, R=7007.000000, S=6890.000000, T=4597.000000
1928 - 1479: A=2839.000000, B=5010.000000, C=1232.000000, D=6038.000000, E=1772.000000, F=2308.000000, G=2622.000000, H=3824.000000, I=1224.000000, J=6077.000000, K=2335.000000, L=4464.000000, M=4147.000000, N=1334.000000, O=4113.000000, P=6257.000000, Q=4714.000000, R=4145.000000, S=396.000000, T=6127.000000
1688 - 637: A=14009.000000, B=9755.000000, C=9212.000000, D=19381.000000, E=10004.000000, F=10762.000000, G=7163.000000, H=11220.000000, I=6977.000000, J=19197.000000, K=9765.000000, L=17631.000000, M=4784.000000, N=11995.000000, O=12959.000000, P=10059.000000, Q=13196.000000, R=9127.000000, S=9698.000000, T=11186.000000
347 - 902: A=4221.000000, B=4845.000000, C=8301.000000, D=8381.000000, E=3854.000000, F=5091.000000, G=1860.000000, H=1962.000000, I=3057.000000, J=8122.000000, K=1665.000000, L=6563.000000, M=5064.000000, N=6558.000000, O=8205.000000, P=7037.000000, Q=4067.000000, R=5857.000000, S=5550.000000, T=2977.000000
735 - 241: A=2220.000000, B=5678.000000, C=8926.000000, D=6203.000000, E=1950.000000, F=4359.000000, G=2329.000000, H=1637.000000, I=1872.000000, J=5161.000000, K=1482.000000, L=5511.000000, M=6532.000000, N=4082.000000, O=8003.000000, P=7410.000000, Q=2964.000000, R=6541.000000, S=4940.000000, T=2720.000000
504 - 673: A=858.000000, B=1821.000000, C=2875.000000, D=2704.000000, E=676.000000, F=1382.000000, G=689.000000, H=575.000000, I=525.000000, J=3211.000000, K=507.000000, L=1942.000000, M=1937.000000, N=1651.000000, O=2788.000000, P=2535.000000, Q=1014.000000, R=2873.000000, S=1690.000000, T=169.000000
1787 - 1825: B=384.000000, C=96.000000, D=190.000000, F=84.000000, G=114.000000, H=228.000000, J=722.000000, M=418.000000, N=114.000000, P=646.000000, Q=342.000000, R=646.000000, T=646.000000
1879 - 31: A=18259.000000, B=18469.000000, C=20185.000000, D=26097.000000, E=13254.000000, F=16765.000000, G=10870.000000, H=15196.000000, I=9044.000000, J=26232.000000, K=12429.000000, L=25195.000000, M=16688.000000, N=15246.000000, O=24311.000000, P=22051.000000, Q=18313.000000, R=17345.000000, S=15662.000000, T=17187.000000
1148 - 1285: A=1918.000000, B=1644.000000, C=1117.000000, D=2526.000000, E=1670.000000, F=1644.000000, G=1370.000000, H=2192.000000, I=822.000000, J=2603.000000, K=2329.000000, L=2466.000000, M=274.000000, N=1282.000000, O=1644.000000, P=959.000000, Q=1918.000000, R=1370.000000, S=1644.000000, T=548.000000
462 - 767: A=2216.000000, B=3029.000000, C=5171.000000, D=4606.000000, E=1385.000000, F=2534.000000, G=1035.000000, H=1077.000000, I=1497.000000, J=5249.000000, K=915.000000, L=2863.000000, M=2839.000000, N=3553.000000, O=4630.000000, P=4367.000000, Q=1830.000000, R=3820.000000, S=3050.000000, T=305.000000
229 - 1721: A=15364.000000, B=15322.000000, C=16799.000000, D=24459.000000, E=11850.000000, F=14839.000000, G=9565.000000, H=12711.000000, I=8201.000000, J=23081.000000, K=11286.000000, L=22839.000000, M=11687.000000, N=14472.000000, O=20390.000000, P=16740.000000, Q=16040.000000, R=15217.000000, S=13778.000000, T=14360.000000
1193 - 1672: A=6049.000000, B=6333.000000, C=4072.000000, D=9069.000000, E=2935.000000, F=4900.000000, G=4741.000000, H=6564.000000, I=2865.000000, J=8361.000000, K=4551.000000, L=8622.000000, M=3496.000000, N=1939.000000, O=5952.000000, P=5063.000000, Q=6483.000000, R=4790.000000, S=3846.000000, T=5357.000000
1840 - 1832: D=40.000000, G=24.000000, H=48.000000, M=88.000000, N=24.000000, P=136.000000, Q=72.000000, T=136.000000
1693 - 300: A=14622.000000, B=13979.000000, C=15366.000000, D=23740.000000, E=11376.000000, F=14032.000000, G=9055.000000, H=12293.000000, I=7988.000000, J=22463.000000, K=10821.000000, L=21412.000000, M=10172.000000, N=14033.000000, O=18763.000000, P=15199.000000, Q=15278.000000, R=14378.000000, S=13068.000000, T=13003.000000
1184 - 280: A=8236.000000, B=7483.000000, C=11548.000000, D=14210.000000, E=8218.000000, F=9078.000000, G=4281.000000, H=5519.000000, I=5054.000000, J=13614.000000, K=5988.000000, L=12510.000000, M=6767.000000, N=11969.000000, O=12728.000000, P=10016.000000, Q=8537.000000, R=9548.000000, S=9314.000000, T=7574.000000
522 - 610: A=88.000000, B=1020.000000, C=1496.000000, D=1480.000000, E=352.000000, F=752.000000, G=518.000000, H=269.000000, I=264.000000, J=1672.000000, K=264.000000, L=979.000000, M=1377.000000, N=440.000000, O=1496.000000, P=1320.000000, Q=528.000000, R=1496.000000, S=880.000000, T=88.000000
999 - 166: A=6816.000000, B=7295.000000, C=12419.000000, D=11030.000000, E=5739.000000, F=7884.000000, G=3053.000000, H=3374.000000, I=4286.000000, J=10327.000000, K=3185.000000, L=10662.000000, M=8335.000000, N=9194.000000, O=12446.000000, P=10431.000000, Q=6435.000000, R=8400.000000, S=8330.000000, T=6172.000000
48 - 36: A=216.000000, B=96.000000, C=108.000000, D=12.000000, E=96.000000, F=108.000000, G=12.000000, H=216.000000, I=12.000000, J=132.000000, K=36.000000, L=120.000000, M=228.000000, O=144.000000, P=180.000000, Q=12.000000, S=24.000000, T=145.000000
793 - 291: A=2751.000000, B=5434.000000, C=8602.000000, D=7117.000000, E=2443.000000, F=4287.000000, G=2087.000000, H=1694.000000, I=2244.000000, J=6163.000000, K=1506.000000, L=5329.000000, M=5798.000000, N=4876.000000, O=7849.000000, P=7114.000000, Q=3012.000000, R=6215.000000, S=5020.000000, T=2182.000000
851 - 1030: A=2506.000000, B=179.000000, C=1253.000000, D=3222.000000, E=2551.000000, F=2148.000000, G=530.000000, H=1096.000000, I=1331.000000, J=3401.000000, K=1657.000000, L=3222.000000, M=358.000000, N=3222.000000, O=2148.000000, P=1253.000000, Q=2779.000000, R=1534.000000, S=1790.000000, T=2685.000000
992 - 1648: A=8599.000000, B=7758.000000, C=5407.000000, D=12231.000000, E=5758.000000, F=7168.000000, G=6560.000000, H=9386.000000, I=3936.000000, J=11772.000000, K=7752.000000, L=11808.000000, M=3634.000000, N=5485.000000, O=8004.000000, P=6062.000000, Q=9009.000000, R=6560.000000, S=6148.000000, T=7251.000000
673 - 1545: A=11932.000000, B=7286.000000, C=8091.000000, D=16016.000000, E=8832.000000, F=9576.000000, G=5858.000000, H=10048.000000, I=6023.000000, J=16082.000000, K=8498.000000, L=14589.000000, M=3139.000000, N=10918.000000, O=10287.000000, P=7088.000000, Q=11233.000000, R=7085.000000, S=9338.000000, T=8862.000000
1058 - 597: A=6155.000000, B=1922.000000, C=4827.000000, D=8298.000000, E=5076.000000, F=4386.000000, G=1119.000000, H=2552.000000, I=3347.000000, J=8759.000000, K=2895.000000, L=6811.000000, M=1154.000000, N=8116.000000, O=5827.000000, P=4379.000000, Q=4871.000000, R=3507.000000, S=4632.000000, T=4325.000000
1298 - 1950: A=5295.000000, B=7188.000000, C=3607.000000, D=9477.000000, E=2496.000000, F=4414.000000, G=4432.000000, H=6984.000000, I=2310.000000, J=9162.000000, K=3756.000000, L=7722.000000, M=5310.000000, N=2275.000000, O=6285.000000, P=7524.000000, Q=7248.000000, R=5955.000000, S=2586.000000, T=7983.000000
672 - 248: A=1254.000000, B=5140.000000, C=7722.000000, D=5062.000000, E=1680.000000, F=3918.000000, G=2224.000000, H=1357.000000, I=1284.000000, J=3950.000000, K=1272.000000, L=4822.000000, M=6287.000000, N=2913.000000, O=7128.000000, P=6360.000000, Q=2544.000000, R=6355.000000, S=4240.000000, T=2552.000000
1138 - 1182: A=616.000000, B=528.000000, C=308.000000, D=792.000000, E=660.000000, F=528.000000, G=440.000000, H=704.000000, I=264.000000, J=836.000000, K=748.000000, L=792.000000, M=88.000000, N=792.000000, O=528.000000, P=308.000000, Q=616.000000, R=440.000000, S=528.000000, T=176.000000
1968 - 412: A=14995.000000, B=14323.000000, C=13616.000000, D=24019.000000, E=11384.000000, F=13684.000000, G=9061.000000, H=14147.000000, I=7652.000000, J=24678.000000, K=11286.000000, L=20568.000000, M=10061.000000, N=14280.000000, O=18137.000000, P=16358.000000, Q=16589.000000, R=14927.000000, S=11948.000000, T=14194.000000
1372 - 58: A=13518.000000, B=11965.000000, C=17609.000000, D=17999.000000, E=10838.000000, F=12996.000000, G=7271.000000, H=9810.000000, I=7151.000000, J=18039.000000, K=9478.000000, L=18535.000000, M=11013.000000, N=13332.000000, O=18602.000000, P=14662.000000, Q=12218.000000, R=12130.000000, S=13823.000000, T=9196.000000
