[105089-108316: A=218.14],
[166600-178519: A=59.36],
[175242-217882: A=83.42],
[101845-102752: A=56.73],
[143236-183531: A=63.50],
[190461-243964: A=157.72],
[129076-138065: A=173.64],
[114887-123605: A=80.52],
[193072-272070: A=9.21],
[158775-217090: A=220.59],
[153204-165162: A=155.51],
[157189-213035: A=77.09],
[181353-223051: A=105.81],
[173557-245916: A=215.26],
[134980-135912: A=122.19],
[168273-218750: A=171.79],
[161239-199407: A=86.27],
[103905-106122: A=47.29],
[121483-124406: A=102.22],
[101712-102391: A=68.44],
[142879-157334: A=59.65],
[166632-208538: A=127.24],
[186548-198880: A=26.62],
[119999-120152: A=228.44],
[166233-189706: A=229.72],
[176105-231945: A=18.65],
[125955-150678: A=92.86],
[174029-189759: A=117.95],
[149965-185690: A=118.63],
[133313-153193: A=196.75],
[119371-128749: A=243.66],
[192988-247563: A=81.22],
[189591-251819: A=89.50],
[190000-246377: A=175.77],
[160749-182546: A=202.69],
[181616-260527: A=156.81],
[139159-149180: A=175.74],
[140168-158969: A=103.73],
[187941-193128: A=215.28],
[194758-222438: A=212.70],
[157688-197532: A=176.58],
[187230-251208: A=55.18],
[186405-243593: A=24.16],
[124531-129353: A=202.94],
[102750-103103: A=171.79],
[187765-246266: A=70.72],
[172903-245681: A=205.22],
[126375-129077: A=209.80],
[143085-169226: A=32.48],
[148434-189051: A=21.37],
[191214-226468: A=5.83],
[195858-241653: A=199.82],
[107036-108654: A=125.27],
[163239-195097: A=124.30],
[145818-171824: A=25.01],
[164046-183640: A=200.11],
[131518-150404: A=189.11],
[182177-194896: A=239.91],
[191491-232384: A=249.30],
[174248-222934: A=89.13],
[184387-222499: A=27.19],
[118431-136535: A=18.85],
[146276-183106: A=182.64],
[142174-166134: A=93.65],
[108899-111119: A=153.74],
[142245-165596: A=178.29],
[160944-172540: A=134.06],
[174937-195183: A=53.26],
[148234-151505: A=41.15],
[141189-176708: A=67.55],
[194703-251568: A=65.07],
[135176-144532: A=15.79],
[134044-145774: A=176.34],
[193110-283229: A=90.39],
[188279-198380: A=6.97],
[173197-228483: A=239.37],
[181379-195838: A=208.14],
[144889-187608: A=106.57],
[194239-203543: A=106.85],
[174909-240693: A=100.91],
[130895-146026: A=182.73],
[171505-179779: A=90.76],
[170423-220670: A=145.06],
[135959-170636: A=63.60],
[127866-135496: A=22.99],
[109753-117803: A=62.82],
[129219-155063: A=143.55],
[188738-269440: A=212.91],
[165278-185352: A=2.91],
[121759-138402: A=78.81],
[143723-158151: A=120.10],
[185084-242086: A=57.99],
[136147-162209: A=234.29],
[194381-286115: A=108.86],
[138235-158804: A=72.14],
[149191-197652: A=120.27],
[185941-222766: A=221.91],
[145096-158526: A=6.83],
[156122-198741: A=236.66],
[132367-157373: A=131.92],
[182196-192136: A=244.65],
[108566-114431: A=98.96],
[196925-274957: A=195.06],
[123685-132907: A=223.40],
[195792-198441: A=168.64],
[118066-124449: A=142.06],
[124132-139058: A=12.22],
[156420-159750: A=56.32],
[195406-224469: A=117.64],
[136876-142084: A=159.55],
[129187-145765: A=205.36],
[139857-143233: A=188.38],
[161970-200204: A=212.35],
[135781-158107: A=246.82],
[136942-148157: A=171.40],
[127518-140053: A=157.94],
[174800-248584: A=53.05],
[139428-149415: A=8.40],
[189461-196260: A=137.36],
[147945-169405: A=5.24],
[143050-165479: A=247.97],
[163319-185112: A=143.89],
[199855-283230: A=204.22],
[151727-154564: A=74.59],
[171710-209527: A=3.31],
[136639-170371: A=201.02],
[116068-126038: A=47.89],
[186847-223524: A=57.50],
[105907-108037: A=11.20],
[144354-162970: A=197.76],
[153756-161515: A=88.94],
[123563-128644: A=101.75],
[132157-150512: A=182.35],
[155765-193316: A=96.96],
[104908-108426: A=158.29],
[195718-232903: A=219.46],
[149357-190043: A=222.00],
[174179-240593: A=117.36],
[136026-159307: A=49.63],
[143453-175475: A=87.32],
[182458-226307: A=125.25],
[104020-104632: A=219.95],
[171353-238799: A=176.74],
[110257-117742: A=49.68],
[175073-219475: A=119.95],
[122784-140654: A=163.91],
[196974-216319: A=186.21],
[189743-245693: A=176.47],
[128227-147121: A=141.14],
[142591-155323: A=45.11],
[191128-264358: A=21.59],
[192978-254278: A=181.62],
[133953-166899: A=203.20],
[137935-149173: A=138.03],
[117871-125639: A=148.06],
[176040-185121: A=44.40],
[157499-194818: A=177.18],
[154949-184665: A=0.52],
[138173-172408: A=136.60],
[193693-196290: A=217.55],
[132542-159126: A=246.95],
[110332-116084: A=165.37],
[137151-160447: A=238.64],
[102106-102849: A=122.52],
[128654-143963: A=64.62],
[168562-187348: A=210.67],
[112503-122749: A=76.04],
[105464-106897: A=204.68],
[149481-181365: A=145.25],
[128148-144341: A=101.58],
[152250-165191: A=221.51],
[125789-131898: A=43.29],
[105378-108595: A=158.82],
[195284-265037: A=132.60],
[127332-130437: A=121.58],
[188630-254557: A=45.50],
[117281-118617: A=1.10],
[124844-148781: A=178.06],
[198469-256802: A=236.81],
[147083-173374: A=227.30],
[173260-215793: A=171.91],
[168586-205914: A=239.99],
[198241-237707: A=81.44],
[171023-195765: A=143.92],
[136204-155922: A=101.23],
[130514-142024: A=224.77],
[170412-225942: A=205.66],
[195959-221673: A=121.06],
[134031-155818: A=46.25],
[129430-153462: A=15.97],
[178149-231279: A=108.40],
[106222-110633: A=223.55],
[139017-153896: A=112.52],
[172991-198493: A=132.13],
[196661-269715: A=38.15],
[199052-290941: A=214.75],
[132118-138954: A=75.52],
[140744-149072: A=69.47],
[119239-125178: A=45.91],
[119740-122574: A=24.56],
[102205-103030: A=16.26],
[181226-183520: A=21.25],
[153150-156876: A=3.31],
[190263-269063: A=135.98],
[109825-118478: A=173.21],
[140031-155091: A=246.42],
[146515-172056: A=192.98],
[194402-216274: A=212.73],
[113791-119553: A=91.71],
[181396-245262: A=179.65],
[161489-193757: A=222.60],
[171247-240111: A=233.46],
[175170-197679: A=71.31],
[128974-142621: A=0.55],
[121530-127081: A=63.51],
[176405-243201: A=65.52],
[140398-176496: A=203.61],
[137455-142172: A=189.24],
[122107-123679: A=246.05],
[154417-158854: A=227.57],
[145934-153120: A=147.41],
[135660-153810: A=20.64],
[107559-109712: A=75.84],
[103812-104959: A=172.10],
[123575-126031: A=119.03],
[113152-121322: A=185.29],
[138076-170878: A=225.59],
[183969-265299: A=226.17],
[169322-208678: A=99.26],
[140927-141296: A=206.50],
[159853-165945: A=151.17],
[154840-193692: A=104.88],
[102381-103144: A=11.70],
[166407-188962: A=75.84],
[139908-151160: A=64.48],
[156652-170340: A=15.34],
[174014-213290: A=176.63],
[195457-202486: A=226.46],
[103867-106498: A=182.36],
[126265-133627: A=160.43],
[172122-194301: A=206.98],
[150847-157200: A=236.21],
[131137-148844: A=167.34],
[137076-151154: A=53.06],
[109795-114711: A=17.33],
[160895-165832: A=228.72],
[119724-137008: A=230.14],
[173607-212142: A=194.78],
[181611-258461: A=3.31],
[144294-182648: A=134.84],
[117398-125592: A=60.29],
[169209-198972: A=186.02],
[169349-226394: A=172.60],
[184689-213968: A=105.65],
[175044-244194: A=123.89],
[123377-123533: A=10.46],
[119254-131426: A=0.13],
[122129-136151: A=196.26],
[111452-113787: A=123.90],
[180779-185539: A=66.72],
[112068-121361: A=54.62],
[194756-227263: A=217.81],
[172001-229689: A=8.94],
[194339-249553: A=6.06],
[181755-203868: A=168.43],
[158748-168798: A=88.58],
[188306-260857: A=16.27],
[179594-203454: A=107.65],
[102298-102538: A=199.94],
[117898-128342: A=12.67],
[182244-187228: A=240.71],
[128262-148092: A=153.71],
[186771-190812: A=248.28],
[158332-207546: A=84.99],
[149963-163892: A=9.93],
[193573-257216: A=237.10],
[178675-209953: A=131.09],
[144544-164275: A=203.53],
[174383-177066: A=34.93],
[128459-143313: A=239.47],
[159032-160603: A=62.67],
[125021-141391: A=39.08],
[138299-176143: A=244.07],
[101725-101757: A=40.35],
[147444-171370: A=92.73],
[146990-178519: A=242.37],
[112699-115690: A=137.27],
[128654-138013: A=10.96],
[180387-191616: A=34.21],
[184975-240699: A=72.96],
[142690-165153: A=118.27],
[150018-169066: A=202.06],
[164923-189991: A=175.06],
[112938-118142: A=78.62],
[184405-197984: A=28.90],
[136446-151734: A=133.29],
[186798-244404: A=197.63],
[140715-169497: A=233.62],
[122487-128963: A=122.58],
[136760-145184: A=66.12],
[164486-187870: A=58.06],
[197128-281872: A=21.78],
[100770-100794: A=128.27],
[165760-187492: A=134.23],
[105155-108259: A=92.93],
[109912-112554: A=213.87],
[182684-196438: A=137.82],
[198661-296641: A=83.58],
[198861-211622: A=150.09],
[129313-147026: A=50.23],
[155436-210611: A=180.70],
[173375-223559: A=151.93],
[158717-192481: A=53.28],
[118237-133187: A=167.93],
[139259-159139: A=92.62],
[118394-128936: A=121.78],
[116214-132298: A=11.62],
[142553-162147: A=82.05],
[176631-227332: A=224.97],
[171882-178727: A=131.73],
[191221-241533: A=215.33],
[184421-200247: A=203.29],
[121759-129965: A=136.86],
[130378-132014: A=139.25],
[173633-243732: A=134.05],
[199055-231203: A=245.39],
[152912-205633: A=99.95],
[186096-271330: A=248.22],
[130008-157648: A=220.27],
[177982-199507: A=47.30],
[189448-212909: A=133.42],
[137065-148416: A=84.94],
[195708-232164: A=180.58],
[156579-169598: A=130.39],
[108666-111229: A=186.07],
[111010-113056: A=202.23],
[165447-196096: A=80.99],
[127283-129064: A=57.96],
[149120-179098: A=164.10],
[148359-167503: A=236.14],
[121826-128832: A=33.50],
[194511-229970: A=225.23],
[165382-182398: A=182.71],
[175848-215060: A=199.59],
[142797-156107: A=224.53],
[188044-192256: A=68.26],
[151571-189073: A=66.40],
[159493-189753: A=60.91],
[149616-177215: A=211.03],
[116075-120078: A=80.77],
[138651-161913: A=116.69],
[189705-228424: A=48.13],
[130384-159391: A=72.03],
[176344-220983: A=152.04],
[197474-256397: A=10.46],
[185200-269891: A=13.40],
[143702-171511: A=9.11],
[135062-168936: A=214.26],
[110403-111941: A=88.34],
[106014-106574: A=39.02],
[144268-150673: A=157.88],
[139603-173461: A=53.26],
[168745-180475: A=219.12],
[198796-248643: A=114.99],
[173475-234497: A=31.37],
[159477-208858: A=135.97],
[104199-107742: A=147.12],
[105174-109772: A=249.85],
[134670-148054: A=57.00],
[146001-155749: A=213.18],
[137704-145092: A=159.14],
[174474-241107: A=130.82],
[122203-122773: A=246.26],
[195939-263287: A=189.63],
[125362-147077: A=41.37],
[161297-219974: A=12.32],
[162617-222300: A=9.04],
[169328-225472: A=67.90],
[166294-226704: A=3.19],
[172862-183962: A=126.52],
[106482-108785: A=161.64],
[170655-225735: A=128.27],
[164219-182112: A=46.94],
[147613-172493: A=108.80],
[103284-103380: A=120.12],
[176701-212352: A=234.07],
[156300-196626: A=179.53],
[144692-164389: A=25.78],
[189524-200849: A=235.02],
[169004-226864: A=74.33],
[164128-197670: A=29.54],
[123022-140792: A=212.20],
[165471-216479: A=164.55],
[108260-110600: A=51.06],
[182856-261115: A=76.80],
[149305-172411: A=84.32],
[119092-121591: A=59.60],
[187157-211394: A=145.08],
[144116-174747: A=131.37],
[174024-180635: A=134.08],
[161557-205975: A=218.70],
[165663-181461: A=108.28],
[157193-205443: A=25.11],
[190481-204113: A=187.91],
[132415-156082: A=82.99],
[180421-207507: A=173.55],
[152575-180346: A=179.19],
[165370-178522: A=247.85],
[178434-220175: A=196.68],
[157046-177998: A=218.49],
[141971-147191: A=242.59],
[180151-229527: A=141.59],
[173006-196789: A=52.64],
[198903-287232: A=29.56],
[177844-249081: A=161.65],
[178747-181488: A=152.22],
[127647-131364: A=145.62],
[118576-126373: A=128.33],
[125937-138877: A=39.34],
[155375-176276: A=171.10],
[117000-124747: A=148.76],
[117902-131827: A=39.82],
[116291-118276: A=74.23],
[190667-238196: A=57.82],
[181496-191284: A=214.84],
[198327-231279: A=71.11],
[117087-130744: A=25.12],
[194826-288992: A=38.49],
[112024-120458: A=42.97],
[107825-114219: A=80.88],
[182707-212984: A=51.25],
[155280-178883: A=141.24],
[136718-153222: A=221.11],
[155721-155807: A=45.28],
[111689-116908: A=1.35],
[185888-227822: A=143.51],
[118660-126146: A=145.41],
[109485-115118: A=43.59],
[186289-212575: A=47.12],
[101252-101569: A=101.45],
[178658-230677: A=26.14],
[145196-156780: A=100.82],
[195043-275007: A=132.07],
[163635-226393: A=212.74],
[102355-102674: A=204.79],
[185673-204276: A=172.64],
[124924-132358: A=76.20],
[198379-245410: A=131.52],
[178956-219462: A=136.25],
[156054-203117: A=117.03],
[142765-166401: A=144.37],
[128625-152684: A=90.41],
[121607-133189: A=97.39],
[160832-164273: A=113.48],
[137560-160324: A=128.92],
[196965-226415: A=61.36],
[196190-207352: A=249.04],
[181581-190190: A=4.80],
[162759-210414: A=134.89],
[168550-170686: A=102.66],
[164916-171784: A=74.63],
[163337-175586: A=144.80],
[197359-274649: A=74.13],
[139530-155909: A=115.04],
[152808-162759: A=231.90],
[194861-256208: A=42.48],
[196909-267100: A=212.70],
[162927-210831: A=9.66],
[188030-258644: A=106.68],
[169174-177671: A=83.19],
[194017-286678: A=105.25],
[121159-125774: A=119.61],
[137857-156915: A=224.81],
[180052-233101: A=91.98],
[100490-100898: A=152.62],
[104845-105303: A=224.74],
[176448-246320: A=156.10],
[130287-140496: A=204.81],
[117960-128335: A=155.63],
[169578-184579: A=65.46],
[185064-223777: A=13.73],
[156678-203048: A=60.11],
[163802-204803: A=31.45],
[110403-117424: A=104.89],
[147396-166502: A=100.39],
[139128-144290: A=11.50],
[115225-122581: A=195.55],
[116140-118217: A=45.50],
[123149-143851: A=182.21],
[130022-135600: A=168.97],
[174977-206901: A=24.67],
[120121-125327: A=23.37],
[187556-272880: A=16.71],
[128667-128747: A=153.36],
[198208-272118: A=194.56],
[110470-113649: A=95.92],
[172117-188498: A=184.72],
[148211-189084: A=16.60],
[180803-244770: A=50.60],
[122938-124552: A=212.89],
[138923-143844: A=175.62],
[141798-172505: A=235.88],
[151296-190002: A=211.28],
[122860-144726: A=230.96],
[192283-192432: A=62.86],
[100866-101284: A=118.44],
[170432-198633: A=98.13],
[171186-224136: A=35.19],
[104121-105105: A=80.99],
[194320-195521: A=68.08],
[118973-121022: A=38.63],
[172069-224492: A=205.57],
[118905-120956: A=205.65],
[137736-160760: A=155.93],
[137789-162648: A=216.13],
[178890-194857: A=17.75],
[167528-193087: A=17.05],
[147460-150990: A=142.03],
[105964-109698: A=148.40],
[185823-192196: A=205.31],
[195518-276625: A=23.51],
[123562-133120: A=58.47],
[170410-231344: A=13.95],
[142294-157394: A=42.08],
[105488-109100: A=130.93],
[126265-135941: A=58.08],
[142685-145035: A=96.10],
[162405-207434: A=120.54],
[125575-144950: A=117.80],
[110772-117667: A=69.75],
[186420-213273: A=84.21],
[190025-205607: A=197.92],
[152188-193906: A=216.82],
[156657-198557: A=60.70],
[179723-199152: A=41.57],
[189218-219734: A=167.97],
[125341-130513: A=134.66],
[180354-192372: A=12.76],
[197179-276511: A=155.94],
[131874-132679: A=27.18],
[154644-157257: A=85.37],
[125098-135662: A=211.94],
[153234-184491: A=137.34],
[196227-248339: A=172.45],
[188832-262514: A=27.29],
[108463-113397: A=40.84],
[167611-207633: A=201.25],
[194681-271088: A=162.74],
[155429-195403: A=87.45],
[165333-191198: A=151.35],
[138463-156364: A=61.32],
[118612-134938: A=143.86],
[106743-107113: A=58.42],
[174486-248227: A=249.40],
[141650-159060: A=69.97],
[122976-129372: A=224.76],
[151037-167056: A=100.59],
[199879-230346: A=194.21],
[146787-157463: A=177.31],
[190786-265534: A=235.97],
[118425-127619: A=47.19],
[182207-218327: A=222.66],
[121440-136214: A=80.77],
[198694-204581: A=104.60],
[175759-229717: A=202.62],
[153699-156386: A=211.18],
[187403-255909: A=244.44],
[151610-165649: A=193.18],
[179759-227174: A=53.86],
[163671-226297: A=233.47],
[173788-232335: A=138.89],
[145976-148536: A=84.40],
[117310-123145: A=159.16],
[108164-109728: A=201.33],
[135586-156614: A=189.13],
[149530-175140: A=132.38],
[116746-119178: A=158.34],
[167879-227511: A=208.36],
[169044-205243: A=17.40],
[148010-176355: A=195.03],
[101670-102587: A=232.45],
[175024-204732: A=201.31],
[177982-187134: A=0.25],
[183558-221101: A=95.65],
[170472-189439: A=168.06],
[108054-110991: A=24.26],
[133148-160091: A=78.80],
[136060-167657: A=117.48],
[183126-209348: A=22.76],
[155007-171792: A=50.99],
[185490-248273: A=177.46],
[125685-141000: A=144.89],
[131077-146177: A=22.71],
[140803-157190: A=201.12],
[134118-150416: A=83.08],
[111675-119774: A=70.88],
[103424-105492: A=118.81],
[143291-186242: A=192.14],
[109410-114445: A=138.05],
[174938-239504: A=217.94],
[194649-257904: A=137.72],
[111087-112325: A=211.40],
[131728-161822: A=0.22],
[146785-176370: A=188.84],
[132457-137253: A=67.98],
[120778-139795: A=4.08],
[190207-226433: A=40.57],
[176037-219140: A=139.86],
[101595-102075: A=127.30],
[199532-227423: A=132.04],
[174786-208935: A=232.15],
[176345-202662: A=217.67],
[114231-117226: A=202.42],
[106595-111012: A=91.48],
[159905-210715: A=133.02],
[126119-134367: A=174.85],
[171673-199291: A=153.50],
[182086-257461: A=73.59],
[104470-108741: A=54.03],
[107838-108518: A=111.47],
[107065-108718: A=150.02],
[114671-128609: A=6.36],
[149142-188347: A=241.66],
[160912-174037: A=131.03],
[185096-264828: A=195.67],
[153840-158453: A=53.06],
[188089-224051: A=174.72],
[147220-171512: A=214.08],
[198944-283573: A=187.64],
[124011-144671: A=178.94],
[139655-167037: A=52.07],
[110511-114910: A=4.22],
[157664-184164: A=229.23],
[183605-244946: A=145.36],
[189962-195164: A=86.05],
[127292-139083: A=165.07],
[131035-152257: A=249.09],
[101930-103382: A=94.38],
[183760-256363: A=131.07],
[168594-175944: A=153.87],
[105666-110709: A=54.76],
[152300-166671: A=243.22],
[164785-173301: A=7.80],
[185447-231650: A=247.89],
[165341-193903: A=204.52],
[176263-233660: A=92.66],
[144813-176532: A=234.59],
[120917-134683: A=67.73],
[117017-130793: A=68.33],
[106337-111587: A=68.54],
[104923-107959: A=79.90],
[156421-169325: A=189.72],
[142615-152280: A=39.58],
[189008-245638: A=33.66],
[189306-220213: A=237.28],
[159298-175849: A=116.79],
[177061-237936: A=196.13],
[147626-184431: A=182.85],
[195973-249383: A=17.53],
[176570-181424: A=144.57],
[135805-152777: A=178.53],
[131728-160967: A=12.37],
[178253-251069: A=98.95],
[123677-131052: A=204.66],
[183091-257875: A=90.79],
[159904-205617: A=23.97],
[149784-179946: A=63.07],
[157425-193713: A=74.78],
[183997-186563: A=200.48],
[121331-121541: A=156.91],
[144838-150612: A=148.38],
[147118-161508: A=84.01],
[111439-116190: A=158.67],
[118176-121262: A=16.24],
[197127-269129: A=230.32],
[152981-202136: A=163.83],
[105720-109502: A=69.86],
[153431-200343: A=169.94],
[122447-142469: A=198.63],
[190955-199356: A=27.35],
[194062-278127: A=151.39],
[197647-223556: A=183.43],
[101999-102848: A=16.07],
[107799-110810: A=2.82],
[131266-141705: A=247.79],
[177217-214371: A=73.27],
[119296-135295: A=93.18],
[160907-194347: A=220.31],
[185659-211426: A=232.41],
[122464-125033: A=162.35],
[182517-239917: A=194.57],
[141755-146087: A=214.42],
[174015-202339: A=168.68],
[133217-138120: A=226.57],
[193102-272688: A=71.25],
[105148-108979: A=55.74],
[187999-190777: A=120.38],
[126548-148721: A=241.84],
[167424-170623: A=64.33],
[187289-209033: A=118.27],
[185196-253763: A=217.77],
[189050-277961: A=231.30],
[124781-131829: A=36.31],
[135373-152904: A=183.64],
[148808-170442: A=55.23],
[161446-186803: A=21.42],
[182516-257254: A=179.22],
[102319-104050: A=70.89],
[136550-170324: A=163.41],
[108122-115005: A=157.90],
[159905-200779: A=24.19],
[157869-163140: A=46.18],
[163325-207141: A=103.00],
[125811-132639: A=212.10],
[117205-129182: A=137.81],
[102777-105140: A=10.02],
[125307-140623: A=113.59],
[141764-159122: A=159.12],
[171010-177670: A=73.27],
[130235-145635: A=213.17],
[125684-151203: A=65.85],
[122176-142247: A=189.00],
[176350-187035: A=155.99],
[183807-264630: A=135.88],
[160749-177392: A=191.41],
[195621-263274: A=90.36],
[142789-158197: A=157.56],
[130670-146568: A=161.20],
[193719-234094: A=24.40],
[196095-247006: A=158.58],
[177387-185762: A=230.51],
[137708-152916: A=87.43],
[125627-148202: A=22.80],
[173173-227888: A=118.41],
[198704-252900: A=117.60],
[104351-106220: A=162.19],
[114548-115679: A=127.25],
[185990-255235: A=217.87],
[116299-128408: A=5.66],
[166100-196672: A=202.02],
[176453-193405: A=13.69],
[180035-195817: A=44.86],
[104149-106856: A=9.89],
[195272-285341: A=139.40],
[195863-247177: A=86.22],
[136868-151489: A=58.25],
[161224-161325: A=44.03],
[104321-107466: A=224.13],
[121093-122031: A=216.50],
[127837-134061: A=121.56],
[120687-134683: A=194.48],
[138387-141087: A=182.10],
[133768-158216: A=243.39],
[184802-205383: A=82.18],
[177118-207537: A=133.27],
[139568-146870: A=106.96],
[147196-193151: A=8.89],
[108712-111514: A=27.92],
[137262-145694: A=37.29],
[123202-144029: A=191.01],
[149210-161888: A=204.25],
[188503-199923: A=94.37],
[169077-201487: A=195.70],
[145473-156041: A=175.40],
[148187-184617: A=144.81],
[130029-152177: A=167.07],
[183729-213497: A=95.63],
[118497-131158: A=79.17],
[121547-130241: A=69.47],
[156632-199050: A=90.96],
[119222-127003: A=16.21],
[113760-116981: A=211.60],
[113609-116242: A=123.66],
[199584-265024: A=206.07],
[125529-143345: A=185.13],
[147997-160073: A=136.76],
[178047-186375: A=72.51],
[195517-196570: A=77.95],
[134449-161502: A=132.89],
[106403-112271: A=166.86],
[164642-222751: A=138.84],
[141391-172716: A=156.99],
[167261-182131: A=186.89],
[107879-110482: A=230.91],
[120415-131169: A=174.23],
[154566-181115: A=15.62],
[189890-192344: A=167.45],
[153813-155058: A=167.03],
[134031-166984: A=188.40],
[170083-177094: A=32.43],
[197372-277124: A=198.93],
[103836-107447: A=18.94],
[159065-181539: A=68.13],
[157345-207381: A=112.19],
[173550-226555: A=177.17],
[171560-222496: A=202.51],
[129455-138226: A=73.08],
[120986-132721: A=163.19],
[167357-191151: A=48.36],
[122365-137738: A=172.60],
[119272-136813: A=109.93],
[166598-192548: A=239.76],
[103012-103993: A=43.37],
[141997-177566: A=119.87],
[105990-111830: A=189.79],
[161116-181378: A=193.70],
[192016-247840: A=220.95],
[122562-123267: A=25.22],
[164108-191296: A=121.50],
[139130-141233: A=31.64],
[198011-269964: A=151.13],
[136233-144044: A=248.39],
[106511-109000: A=158.77],
[184575-252057: A=121.88],
[118399-127378: A=136.94],
[192134-261450: A=133.73],
[172104-224431: A=163.21],
[127568-143315: A=41.04],
[102972-103988: A=8.57],
[134661-148602: A=54.22],
[125327-137070: A=239.84],
[168826-216833: A=34.60],
[144694-165761: A=115.02],
[125440-150568: A=248.38],
[144362-149584: A=47.23],
[122826-135368: A=249.64],
[178592-230343: A=128.53],
[129330-154271: A=56.96],
[175335-208537: A=208.47],
[138920-161392: A=149.81],
[193501-256381: A=14.50],
[112325-123110: A=227.98],
[192759-248908: A=162.48],
[125795-143468: A=89.81],
[134349-150850: A=36.77],
[124403-128520: A=178.03],
[188968-245083: A=3.02],
[115288-129348: A=102.07],
[175107-205966: A=28.54],
[155534-206662: A=35.86],
[134071-153823: A=166.95],
[100929-101445: A=244.47],
[177841-197477: A=115.78],
[173053-175882: A=247.43],
[154787-207863: A=167.38],
[193276-282685: A=76.86],
[196723-248745: A=199.92],
[116108-117468: A=238.72],
[115466-121923: A=13.91],
[101524-102801: A=55.25],
[172152-181488: A=119.79],
[198391-236072: A=215.79],
[182036-218057: A=110.84],
[145642-149254: A=202.16],
[181779-221188: A=159.67],
[152721-164665: A=123.88],
[138719-159388: A=109.72],
[193871-232406: A=90.83],
[156752-209732: A=166.75],
[142963-175053: A=174.49],
[113145-114298: A=183.77],
[108706-112260: A=80.63],
[112300-115144: A=69.65],
[130432-138526: A=50.56],
